zongjia,quwei,mianji,shi,ting,wei,chaoxiang,zhuangxiu,louceng,min_time_gongjiao,min_time_zhongxue,count_zhongxue,min_time_xiaoxue,count_xiaoxue,count_gaoxiao,count_yiyuan,min_time_jingdian,count_jingdian,min_time_kaifang,count_kaifang,count_xiuxian
78,1,116,4,2,2,2,3,2,681,915,0,1381,0,0,0,905,0,1317,0,0
88,1,134,3,2,2,2,4,2,124,282,7,346,2,0,1,316,7,34,11,3
41,1,120,3,2,2,2,3,3,597,1066,0,795,1,0,0,1317,0,585,2,0
50,1,89,2,2,1,2,3,3,113,291,1,663,1,0,0,886,1,275,3,0
38,1,91,5,2,2,2,3,3,124,366,4,349,1,0,1,627,3,348,7,3
30,1,50,2,0,1,2,3,2,681,915,0,1381,0,0,0,905,0,1317,0,0
38,1,95,5,2,1,2,3,2,251,475,3,587,1,0,0,794,1,444,6,3
62,1,120,4,3,2,1,2,1,597,1066,0,795,1,0,0,1317,0,585,2,0
66,1,119,3,2,2,2,3,3,136,1242,0,366,1,0,1,483,3,857,1,0
17,1,45,2,1,1,2,1,2,279,1135,0,1236,0,0,1,391,1,391,1,0
53,1,90,2,2,1,2,3,1,113,291,1,663,1,0,0,886,1,275,3,0
39,1,120,3,2,1,2,2,2,134,499,3,810,1,0,1,155,5,161,15,3
84,1,175,4,2,3,2,1,1,561,1158,0,808,1,0,1,360,4,360,8,0
45,1,105,3,2,2,2,3,1,456,962,0,645,1,0,0,1177,0,453,4,0
55,1,122,3,2,2,2,3,1,221,1069,0,1015,0,0,1,579,5,291,10,0
53,1,117,3,2,2,2,1,2,283,1137,0,588,1,0,1,400,5,493,4,0
115,1,282,6,3,3,2,3,1,256,599,2,932,0,0,1,920,0,181,2,0
48,1,111,3,2,1,2,3,2,221,1069,0,1015,0,0,1,579,5,291,10,0
48,1,118,3,2,1,2,3,3,221,1069,0,1015,0,0,1,579,5,291,10,0
70,1,139,4,2,2,2,1,1,561,1158,0,808,1,0,1,360,4,360,8,0
