zongjia,quwei,mianji,shi,ting,wei,chaoxiang,zhuangxiu,louceng,min_time_gongjiao,min_time_zhongxue,count_zhongxue,min_time_xiaoxue,count_xiaoxue,count_gaoxiao,count_yiyuan,min_time_jingdian,count_jingdian,min_time_kaifang,count_kaifang,count_xiuxian
1100,2,70,2,2,1,2,1,3,167,193,2,226,4,0,1,1001,0,693,4,1
1300,2,120,3,2,1,1,2,3,309,573,2,623,1,1,4,545,5,410,6,1
1300,2,37,1,1,1,2,3,1,78,1027,0,1167,0,0,0,236,2,236,2,0
1800,2,70,2,2,1,2,3,2,309,573,2,623,1,1,4,545,5,410,6,1
1400,2,50,2,1,1,2,3,2,26,43,4,529,3,5,1,283,4,227,5,0
1700,2,36,1,1,1,2,2,2,78,1027,0,1167,0,0,0,236,2,236,2,0
1300,2,126,3,2,1,2,3,3,15,89,4,574,3,5,1,238,5,181,5,1
1450,2,52,1,1,1,2,3,2,78,1027,0,1167,0,0,0,236,2,236,2,0
1500,2,42,1,1,1,2,3,1,78,1027,0,1167,0,0,0,236,2,236,2,0
1500,2,42,1,1,1,2,3,1,78,1027,0,1167,0,0,0,236,2,236,2,0
1400,2,40,1,1,1,2,3,2,78,1027,0,1167,0,0,0,236,2,236,2,0
1700,2,60,2,1,1,2,2,2,26,43,4,529,3,5,1,283,4,227,5,0
1000,2,70,2,1,1,1,2,2,165,137,2,226,1,0,0,371,2,334,4,0
900,2,20,1,0,1,2,3,3,15,89,4,574,3,5,1,238,5,181,5,1
5000,2,116,1,1,1,2,3,3,137,701,5,175,3,2,3,191,9,335,5,1
2800,2,62,2,2,1,2,3,1,137,701,5,175,3,2,3,191,9,335,5,1
2300,2,80,2,2,1,2,3,3,137,701,5,175,3,2,3,191,9,335,5,1
1600,2,85,3,1,1,2,3,2,469,356,3,477,2,3,3,928,0,732,3,0
999,2,25,1,0,1,2,3,1,78,1027,0,1167,0,0,0,236,2,236,2,0
1300,2,80,2,2,1,2,3,1,229,671,4,525,1,3,4,250,4,576,5,1
2600,2,62,2,2,1,2,3,1,137,701,5,175,3,2,3,191,9,335,5,1
2000,2,100,2,1,1,2,3,2,78,1027,0,1167,0,0,0,236,2,236,2,0
1350,2,70,3,1,1,2,2,2,229,671,4,525,1,3,4,250,4,576,5,1
3700,2,130,3,2,2,2,3,3,140,797,1,970,0,0,1,489,3,489,2,0
1200,2,82,2,2,1,2,3,2,78,1027,0,1167,0,0,0,236,2,236,2,0
1300,2,37,1,1,1,2,3,1,78,1027,0,1167,0,0,0,236,2,236,2,0
800,2,30,1,0,1,1,3,2,469,356,3,477,2,3,3,928,0,732,3,0
1000,2,30,1,1,1,2,3,3,469,356,3,477,2,3,3,928,0,732,3,0
1500,2,40,1,1,1,1,3,3,78,1027,0,1167,0,0,0,236,2,236,2,0
1500,2,35,1,1,1,2,3,3,78,1027,0,1167,0,0,0,236,2,236,2,0
1050,2,75,2,1,1,2,2,1,88,272,3,647,3,4,1,55,6,112,5,1
1600,2,52,1,1,1,2,2,2,78,1027,0,1167,0,0,0,236,2,236,2,0
800,2,30,1,1,1,2,3,1,309,573,2,623,1,1,4,545,5,410,6,1
14999,2,288,6,3,3,2,3,1,199,1249,0,919,0,0,0,529,2,529,2,0
1700,2,210,2,1,1,2,3,2,225,257,3,405,3,4,1,599,5,463,4,0
1680,2,58,2,2,1,2,3,2,140,311,3,98,4,1,1,319,10,691,6,1
1300,2,55,1,1,1,2,3,2,26,43,4,529,3,5,1,283,4,227,5,0
1600,2,40,1,1,1,2,3,2,78,1027,0,1167,0,0,0,236,2,236,2,0
1500,2,70,2,1,1,2,2,3,309,573,2,623,1,1,4,545,5,410,6,1
2600,2,90,2,2,1,2,3,1,369,1026,0,1612,0,0,0,445,3,469,4,1
2200,2,91,3,2,1,2,3,2,225,257,3,405,3,4,1,599,5,463,4,0
1500,2,80,2,2,1,2,2,3,55,531,5,733,4,4,5,373,7,38,8,1
1600,2,40,1,1,1,2,2,2,78,1027,0,1167,0,0,0,236,2,236,2,0
1499,2,38,1,1,1,2,3,1,78,1027,0,1167,0,0,0,236,2,236,2,0
1500,2,63,2,2,1,1,3,1,327,1152,0,1183,0,0,1,343,2,763,1,0
3500,2,125,3,2,2,2,3,3,309,573,2,623,1,1,4,545,5,410,6,1
1500,2,88,2,2,1,2,3,2,15,353,3,839,2,4,0,285,5,188,11,0
1100,2,35,1,1,1,2,3,2,137,701,5,175,3,2,3,191,9,335,5,1
3600,2,95,2,2,1,2,4,1,137,701,5,175,3,2,3,191,9,335,5,1
1480,2,52,1,1,1,2,3,1,26,43,4,529,3,5,1,283,4,227,5,0
1000,2,35,1,1,1,2,3,2,15,89,4,574,3,5,1,238,5,181,5,1
1999,2,45,1,1,1,2,4,2,78,1027,0,1167,0,0,0,236,2,236,2,0
300,2,60,4,1,1,1,2,1,204,443,3,301,3,0,1,182,11,557,7,1
2800,2,98,2,1,1,2,3,2,137,701,5,175,3,2,3,191,9,335,5,1
2300,2,70,2,1,1,2,3,2,26,43,4,529,3,5,1,283,4,227,5,0
750,2,28,1,0,1,2,3,2,469,356,3,477,2,3,3,928,0,732,3,0
1499,2,37,1,1,1,2,3,1,78,1027,0,1167,0,0,0,236,2,236,2,0
1600,2,36,1,0,1,2,3,2,78,1027,0,1167,0,0,0,236,2,236,2,0
2000,2,91,3,2,1,2,3,2,225,257,3,405,3,4,1,599,5,463,4,0
